entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
30,40,10,BUY,104.62,100.32284285714286,111.78192857142858,100.32284285714286,-4.297157142857145,-4.107395472048505,sl,2024-05-09 01:00:00
46,47,1,BUY,104.17,101.65636428571429,108.35939285714285,101.65636428571429,-2.513635714285712,-2.413013069296066,sl,2024-06-03 01:00:00
49,59,10,BUY,101.05,102.27,105.11783928571428,98.60929642857143,1.2199999999999989,1.2073231073725867,time,2024-06-06 01:00:00
61,64,3,BUY,102.66,100.28539285714285,106.61767857142857,100.28539285714285,-2.374607142857144,-2.313079235200803,sl,2024-06-25 01:00:00
66,76,10,BUY,97.935,97.31,101.92285714285715,95.54228571428571,-0.625,-0.63817838362179,time,2024-07-02 01:00:00
78,79,1,BUY,96.82,94.4327607142857,100.79873214285713,94.4327607142857,-2.387239285714287,-2.465646855726386,sl,2024-07-19 01:00:00
81,86,5,BUY,90.22,94.33801785714286,94.33801785714286,87.74918928571428,4.11801785714286,4.5644179307724,tp,2024-07-24 01:00:00
88,88,0,BUY,92.16,89.37482142857142,96.80196428571428,89.37482142857142,-2.785178571428574,-3.0221121651785743,sl,2024-08-02 01:00:00
90,92,2,BUY,88.23,85.00232142857143,93.60946428571428,85.00232142857143,-3.2276785714285694,-3.6582552095982876,sl,2024-08-06 01:00:00
94,104,10,BUY,85.86,91.78,92.17071428571428,82.07357142857143,5.920000000000002,6.8949452597251355,time,2024-08-12 01:00:00
106,112,6,BUY,90.33,88.136175,93.986375,88.136175,-2.193825000000004,-2.428678180006647,sl,2024-08-28 01:00:00
114,118,4,BUY,88.33,91.75917857142858,91.75917857142858,86.27249285714285,3.4291785714285794,3.882235448237948,tp,2024-09-10 01:00:00
120,128,8,BUY,93.52,97.0667142857143,97.0667142857143,91.39197142857142,3.5467142857143017,3.792466088231717,tp,2024-09-18 01:00:00
130,140,10,BUY,93.59,96.75,97.67960714285715,91.13623571428572,3.1599999999999966,3.376429105673679,time,2024-10-02 01:00:00
142,152,10,BUY,97.01,95.81,102.00094642857144,94.01543214285715,-1.2000000000000028,-1.2369858777445653,time,2024-10-18 01:00:00
154,155,1,BUY,95.6,99.53191642857142,99.53191642857142,93.24085014285714,3.9319164285714265,4.112883293484756,tp,2024-11-05 01:00:00
157,160,3,BUY,98.73,102.54763071428572,102.54763071428572,96.43942157142858,3.8176307142857127,3.866738290576028,tp,2024-11-08 01:00:00
162,168,6,BUY,110.25,116.42121428571429,116.42121428571429,106.54727142857142,6.171214285714285,5.597473275024295,tp,2024-11-15 01:00:00
170,180,10,BUY,115.445,114.9,123.24651785714286,110.76408928571428,-0.5449999999999875,-0.4720862748494846,time,2024-11-27 01:00:00
194,198,4,BUY,111.37,108.42078571428573,116.28535714285715,108.42078571428573,-2.9492142857142767,-2.6481227311792015,sl,2025-01-03 01:00:00
208,215,7,BUY,111.68,116.96905357142857,116.96905357142857,108.50656785714287,5.289053571428568,4.735900404216125,tp,2025-01-27 01:00:00
217,227,10,BUY,111.61,111.2,118.45275,107.50435,-0.4099999999999966,-0.36735059582474383,time,2025-02-07 01:00:00
229,235,6,BUY,110.055,106.00340357142858,116.80766071428573,106.00340357142858,-4.051596428571429,-3.6814287661364125,sl,2025-02-26 01:00:00
239,249,10,BUY,98.68,100.78,106.99007142857144,93.69395714285714,2.0999999999999943,2.128090798540732,time,2025-03-12 01:00:00
254,255,1,BUY,96.615,93.66498214285714,101.53169642857142,93.66498214285714,-2.9500178571428535,-3.0533745869097486,sl,2025-04-02 01:00:00
257,259,2,BUY,80.99,87.75482142857142,87.75482142857142,76.93110714285714,6.764821428571423,8.35266258620993,tp,2025-04-07 01:00:00
261,271,10,BUY,85.11,90.16,96.41232142857143,78.32860714285714,5.049999999999997,5.933497826342378,time,2025-04-11 01:00:00
273,278,5,BUY,89.89,102.42,98.56655357142859,84.68406785714285,12.530000000000001,13.939259094448772,tp,2025-04-30 01:00:00
280,283,3,BUY,105.255,113.04962499999999,113.04962499999999,100.578225,7.794624999999996,7.405467673744711,tp,2025-05-09 01:00:00
285,295,10,BUY,111.915,112.95,119.54623214285715,107.33626071428573,1.0349999999999966,0.9248090068355417,time,2025-05-16 01:00:00
297,301,4,BUY,113.855,118.73114285714286,118.73114285714286,110.92931428571428,4.8761428571428524,4.282765673130607,tp,2025-06-04 01:00:00
303,309,6,BUY,118.87,115.63198214285715,124.26669642857144,115.63198214285715,-3.23801785714285,-2.7239992068165644,sl,2025-06-12 01:00:00
399,409,10,BUY,111.18,116.37323214285715,116.37323214285715,108.06406071428572,5.193232142857141,4.671012900573071,tp,2025-10-29 01:00:00
