entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,10,9,BUY,152.0,160.92228571428572,160.92228571428572,146.64662857142858,8.92228571428572,5.869924812030079,tp,2024-03-28 01:00:00
12,13,1,BUY,160.28,155.64,167.97317857142858,155.66409285714286,-4.640000000000015,-2.894933865734973,sl,2024-04-15 01:00:00
15,21,6,BUY,156.925,175.99,164.94692857142857,152.11184285714288,19.064999999999998,12.14911581965907,tp,2024-04-18 01:00:00
23,33,10,BUY,167.38,171.93,179.2501607142857,160.25790357142856,4.550000000000011,2.7183653961046788,time,2024-04-30 01:00:00
35,45,10,BUY,174.6,173.96,186.4614107142857,167.48315357142857,-0.6399999999999864,-0.3665521191294309,time,2024-05-16 01:00:00
47,53,6,BUY,174.45,181.75182142857142,181.75182142857142,170.06890714285714,7.301821428571429,4.185624206690416,tp,2024-06-04 01:00:00
55,61,6,BUY,175.852,183.42242857142858,183.42242857142858,171.30974285714285,7.570428571428579,4.304999983752576,tp,2024-06-14 01:00:00
63,73,10,BUY,185.645,186.78,193.67173214285717,180.82896071428573,1.134999999999991,0.6113819386463362,time,2024-06-27 01:00:00
75,76,1,BUY,188.96,184.01214285714286,197.2064285714286,184.01214285714286,-4.947857142857146,-2.6184680053223675,sl,2024-07-16 01:00:00
78,81,3,BUY,180.37,174.78892857142856,189.67178571428573,174.78892857142856,-5.581071428571448,-3.0942348664253747,sl,2024-07-19 01:00:00
83,89,6,BUY,168.77,157.37,179.65750000000003,162.2375,-11.400000000000006,-6.754754992000951,sl,2024-07-26 01:00:00
91,101,10,BUY,163.24,167.63,176.39267857142858,155.34839285714287,4.389999999999986,2.689291840235228,time,2024-08-07 01:00:00
103,109,6,BUY,166.55,160.07107142857146,177.34821428571428,160.07107142857146,-6.478928571428554,-3.8900801989964298,sl,2024-08-23 01:00:00
111,112,1,BUY,157.78,152.6502142857143,166.32964285714286,152.6502142857143,-5.129785714285703,-3.251226843887503,sl,2024-09-05 01:00:00
114,119,5,BUY,151.45,161.355,161.355,145.507,9.905000000000001,6.540112248266756,tp,2024-09-10 01:00:00
121,131,10,BUY,164.82,167.21,174.62321428571428,158.93807142857142,2.390000000000015,1.450066739473374,time,2024-09-19 01:00:00
133,133,0,BUY,169.14,165.003,176.035,165.003,-4.1370000000000005,-2.4459028024122036,sl,2024-10-07 01:00:00
135,145,10,BUY,164.855,164.48,172.28392857142856,160.39764285714284,-0.375,-0.2274726274604956,time,2024-10-09 01:00:00
147,150,3,BUY,165.365,182.41,172.9948392857143,160.78709642857143,17.044999999999987,10.307501587397567,tp,2024-10-25 01:00:00
152,156,4,BUY,171.54,181.23685714285713,181.23685714285713,165.72188571428572,9.69685714285714,5.652825663318842,tp,2024-11-01 01:00:00
158,162,4,BUY,180.07,173.4886642857143,191.03889285714286,173.4886642857143,-6.5813357142857,-3.6548762782727278,sl,2024-11-11 01:00:00
164,166,2,BUY,175.235,168.62243214285718,186.25594642857143,168.62243214285718,-6.612567857142835,-3.773542875077944,sl,2024-11-19 01:00:00
168,178,10,BUY,167.99,184.535,178.9518392857143,161.41289642857146,16.544999999999987,9.848800523840696,tp,2024-11-25 01:00:00
180,184,4,BUY,196.3,189.32458214285714,207.92569642857143,189.32458214285714,-6.975417857142872,-3.5534477112291762,sl,2024-12-12 01:00:00
186,196,10,BUY,187.01,200.66335714285714,200.66335714285714,178.8179857142857,13.653357142857146,7.300870083341611,tp,2024-12-20 01:00:00
198,208,10,BUY,195.42,193.77,207.78346428571425,188.00192142857142,-1.6499999999999773,-0.8443352778630526,time,2025-01-10 01:00:00
210,215,5,BUY,197.37,189.95357142857142,209.73071428571427,189.95357142857142,-7.4164285714285825,-3.7576270818404938,sl,2025-01-29 01:00:00
217,220,3,BUY,192.74,184.11951071428572,207.10748214285715,184.11951071428572,-8.620489285714285,-4.47260002371811,sl,2025-02-07 01:00:00
222,228,6,BUY,186.83,178.3584392857143,200.94926785714287,178.3584392857143,-8.471560714285715,-4.534368524479856,sl,2025-02-14 01:00:00
230,230,0,BUY,175.94,170.18,185.54000000000002,170.18,-5.759999999999991,-3.2738433556894346,sl,2025-02-27 01:00:00
232,232,0,BUY,173.73,168.03449999999998,183.2225,168.03449999999998,-5.69550000000001,-3.2783629770333333,sl,2025-03-03 01:00:00
234,237,3,BUY,172.32,165.61575,183.49375,165.61575,-6.704250000000002,-3.890581476323121,sl,2025-03-05 01:00:00
239,243,4,BUY,168.47,160.19696428571427,182.25839285714287,160.19696428571427,-8.273035714285726,-4.9106877867191345,sl,2025-03-12 01:00:00
245,251,6,BUY,163.825,155.57602857142857,177.5732857142857,155.57602857142857,-8.248971428571423,-5.035233589849793,sl,2025-03-20 01:00:00
253,256,3,BUY,155.3,148.19177857142859,167.14703571428572,148.19177857142859,-7.108221428571426,-4.577090424064021,sl,2025-04-01 01:00:00
258,258,0,BUY,153.575,145.40284999999997,167.19525,145.40284999999997,-8.172150000000016,-5.32127624938956,sl,2025-04-08 01:00:00
260,266,6,BUY,158.76,148.88035714285712,175.22607142857143,148.88035714285712,-9.87964285714287,-6.2230050750459,sl,2025-04-10 01:00:00
268,278,10,BUY,157.91,152.8,175.15464285714287,147.56321428571428,-5.109999999999985,-3.2360205180165824,time,2025-04-23 01:00:00
280,285,5,BUY,155.55,168.93,168.883,147.55020000000002,13.379999999999995,8.601735776277721,tp,2025-05-09 01:00:00
287,297,10,BUY,167.76,169.39,180.66355357142857,160.01786785714285,1.6299999999999955,0.9716261325703359,time,2025-05-20 01:00:00
299,309,10,BUY,172.3,165.53870714285716,183.56882142857145,165.53870714285716,-6.761292857142848,-3.9241397894038585,sl,2025-06-06 01:00:00
311,314,3,BUY,168.65,180.785,179.13869642857145,162.35678214285716,12.134999999999991,7.195375037058992,tp,2025-06-25 01:00:00
316,326,10,BUY,176.545,184.7,187.83458928571426,169.77124642857143,8.155000000000001,4.619218896032174,time,2025-07-02 01:00:00
328,331,3,BUY,187.1,198.11,196.91716071428573,181.20970357142858,11.01000000000002,5.884553714591139,tp,2025-07-21 01:00:00
333,343,10,BUY,194.41,201.63,205.08876785714287,188.00273928571428,7.219999999999999,3.7138007304151017,time,2025-07-28 01:00:00
345,345,0,BUY,204.98,198.7509714285714,215.36171428571427,198.7509714285714,-6.229028571428586,-3.038846995525703,sl,2025-08-13 01:00:00
347,350,3,BUY,204.72,198.5680607142857,214.97323214285714,198.5680607142857,-6.151939285714292,-3.0050504521855665,sl,2025-08-15 01:00:00
352,357,5,BUY,203.96,214.29539285714287,214.29539285714287,197.7587642857143,10.335392857142864,5.067362648138293,tp,2025-08-22 01:00:00
359,362,3,BUY,226.48,238.1407857142857,238.1407857142857,219.48352857142856,11.660785714285709,5.148704395216226,tp,2025-09-03 01:00:00
364,371,7,BUY,239.25,254.5231785714286,254.5231785714286,230.08609285714286,15.273178571428588,6.383773697566808,tp,2025-09-10 01:00:00
373,375,2,BUY,253.655,244.01107142857143,269.7282142857143,244.01107142857143,-9.643928571428575,-3.801986387584938,sl,2025-09-23 01:00:00
377,378,1,BUY,248.275,240.24784642857145,261.6535892857143,240.24784642857145,-8.027153571428556,-3.2331703036667228,sl,2025-09-29 01:00:00
380,386,6,BUY,245.64,237.18238928571427,259.7360178571428,237.18238928571427,-8.457610714285721,-3.443091806825322,sl,2025-10-02 01:00:00
388,390,2,BUY,241.755,256.1809285714286,256.1809285714286,233.09944285714283,14.425928571428585,5.9671686506705495,tp,2025-10-14 01:00:00
392,393,1,BUY,255.23,246.28524285714283,270.1379285714286,246.28524285714283,-8.944757142857156,-3.5045868992113607,sl,2025-10-20 01:00:00
395,397,2,BUY,253.7,269.6614464285714,269.6614464285714,244.12313214285714,15.961446428571435,6.291464891041166,tp,2025-10-23 01:00:00
399,400,1,BUY,268.61,291.72,286.0968571428572,258.1178857142857,23.110000000000014,8.603551617586842,tp,2025-10-29 01:00:00
