entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,8,7,BUY,199.49,195.0610785714286,206.87153571428573,195.0610785714286,-4.428921428571414,-2.220122025450606,sl,2024-03-28 01:00:00
10,11,1,BUY,196.0,188.32,203.11107142857142,191.73335714285716,-7.680000000000007,-3.918367346938779,sl,2024-04-11 01:00:00
13,18,5,BUY,182.9,192.12982142857143,192.12982142857143,177.36210714285716,9.229821428571427,5.046375849410293,tp,2024-04-16 01:00:00
20,30,10,BUY,192.25,197.5,202.592375,186.044575,5.25,2.7308192457737324,time,2024-04-25 01:00:00
32,42,10,BUY,198.8,199.5,206.11855357142858,194.40886785714287,0.6999999999999886,0.3521126760563323,time,2024-05-13 01:00:00
44,53,9,BUY,198.56,193.59555714285713,206.83407142857143,193.59555714285713,-4.9644428571428705,-2.5002230344192538,sl,2024-05-30 01:00:00
55,64,9,BUY,191.45,200.28035714285713,200.28035714285713,186.1517857142857,8.830357142857139,4.612356825728462,tp,2024-06-14 01:00:00
66,76,10,BUY,205.29,214.46767857142856,214.46767857142856,199.78339285714284,9.177678571428572,4.4705921240335975,tp,2024-07-02 01:00:00
78,88,10,BUY,211.2,203.88,222.17946428571426,204.61232142857142,-7.319999999999993,-3.4659090909090877,sl,2024-07-19 01:00:00
90,95,5,BUY,195.4,207.73255357142858,207.73255357142858,188.00046785714287,12.332553571428576,6.311439903494666,tp,2024-08-06 01:00:00
97,107,10,BUY,213.0,222.21,226.40357142857144,204.95785714285714,9.210000000000008,4.3239436619718346,time,2024-08-15 01:00:00
109,110,1,BUY,222.3,218.2982142857143,228.96964285714284,218.2982142857143,-4.001785714285717,-1.8001735106998276,sl,2024-09-03 01:00:00
112,112,0,BUY,217.6,213.03946428571427,225.20089285714283,213.03946428571427,-4.56053571428572,-2.095834427521011,sl,2024-09-06 01:00:00
