entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,5,4,BUY,492.84,528.5012857142857,528.5012857142857,471.44322857142856,35.661285714285725,7.235874871010009,tp,2024-03-28 01:00:00
7,8,1,BUY,529.28,509.6412392857143,562.0112678571428,509.6412392857143,-19.638760714285695,-3.7104671845310038,sl,2024-04-08 01:00:00
10,12,2,BUY,521.11,500.78125,554.99125,500.78125,-20.328750000000014,-3.9010477634280694,sl,2024-04-11 01:00:00
14,16,2,BUY,503.1,481.6961035714286,538.7731607142857,481.6961035714286,-21.403896428571443,-4.254401993355485,sl,2024-04-17 01:00:00
18,20,2,BUY,491.25,421.4,532.4017321428572,466.5589607142857,-69.85000000000002,-14.218829516539444,sl,2024-04-23 01:00:00
22,32,10,BUY,439.56,468.01,493.28675,407.32394999999997,28.44999999999999,6.472381472381469,time,2024-04-29 01:00:00
34,44,10,BUY,474.98,467.05,518.6028392857143,448.80629642857144,-7.930000000000007,-1.669543980799193,time,2024-05-15 01:00:00
46,48,2,BUY,470.86,495.47208928571433,495.47208928571433,456.09274642857144,24.61208928571432,5.227050351636223,tp,2024-06-03 01:00:00
50,60,10,BUY,495.91,498.91,521.2574285714286,480.7015428571429,3.0,0.6049484785545763,time,2024-06-07 01:00:00
62,68,6,BUY,506.645,534.5610535714286,534.5610535714286,489.89536785714284,27.91605357142862,5.509983039688267,tp,2024-06-26 01:00:00
70,72,2,BUY,533.75,513.7407071428571,567.0988214285715,513.7407071428571,-20.009292857142896,-3.7488136500501907,sl,2024-07-09 01:00:00
74,76,2,BUY,498.63,476.3646428571428,535.7389285714286,476.3646428571428,-22.26535714285717,-4.465306368019808,sl,2024-07-15 01:00:00
78,82,4,BUY,476.06,450.3901035714286,518.8431607142857,450.3901035714286,-25.669896428571406,-5.392155700661976,sl,2024-07-19 01:00:00
84,87,3,BUY,469.88,521.0,513.4895892857143,443.7142464285714,51.120000000000005,10.879373457052866,tp,2024-07-29 01:00:00
89,90,1,BUY,451.345,501.55091071428575,501.55091071428575,421.2214535714286,50.20591071428572,11.123621778082336,tp,2024-08-05 01:00:00
92,102,10,BUY,497.5,531.93,551.5239107142856,465.08565357142857,34.42999999999995,6.9206030150753675,time,2024-08-08 01:00:00
104,110,6,BUY,527.6,505.9453678571429,563.6910535714286,505.9453678571429,-21.65463214285711,-4.104365455431598,sl,2024-08-26 01:00:00
112,112,0,BUY,521.88,504.7352142857143,550.4546428571429,504.7352142857143,-17.144785714285717,-3.2851969254015705,sl,2024-09-06 01:00:00
114,119,5,BUY,508.16,539.5605178571429,539.5605178571429,489.3196892857143,31.400517857142916,6.17925807957,tp,2024-09-10 01:00:00
121,131,10,BUY,550.0,582.77,584.406875,529.355875,32.76999999999998,5.9581818181818145,time,2024-09-19 01:00:00
133,140,7,BUY,598.22,579.4419285714287,629.5167857142857,579.4419285714287,-18.778071428571366,-3.1389909111315846,sl,2024-10-07 01:00:00
142,145,3,BUY,581.1,564.0013928571428,609.5976785714286,564.0013928571428,-17.09860714285719,-2.9424551958109086,sl,2024-10-18 01:00:00
147,155,8,BUY,573.935,557.0381107142856,602.0964821428571,557.0381107142856,-16.896889285714337,-2.9440423193766434,sl,2024-10-25 01:00:00
157,162,5,BUY,591.54,569.2988892857143,628.6085178571428,569.2988892857143,-22.241110714285696,-3.759865894831406,sl,2024-11-08 01:00:00
164,172,8,BUY,551.86,589.4103571428572,589.4103571428572,529.3297857142857,37.55035714285714,6.804326666701181,tp,2024-11-19 01:00:00
174,184,10,BUY,612.96,597.19,648.8561428571429,591.4223142857143,-15.769999999999982,-2.5727616810232288,time,2024-12-04 01:00:00
186,196,10,BUY,590.58,617.89,633.7378928571429,564.6852642857143,27.309999999999945,4.624267669071073,time,2024-12-20 01:00:00
198,208,10,BUY,610.03,652.8411785714285,652.8411785714285,584.3432928571428,42.81117857142851,7.017880853634824,tp,2025-01-10 01:00:00
210,220,10,BUY,675.0,726.8790892857143,726.8790892857143,643.8725464285715,51.87908928571426,7.6857910052910015,tp,2025-01-29 01:00:00
222,224,2,BUY,726.14,696.8620571428571,774.9365714285714,696.8620571428571,-29.277942857142875,-4.031996978150615,sl,2025-02-14 01:00:00
226,227,1,BUY,696.58,670.8517964285714,739.4603392857143,670.8517964285714,-25.728203571428594,-3.6935030536949944,sl,2025-02-21 01:00:00
229,233,4,BUY,659.65,633.0614285714286,703.9642857142857,633.0614285714286,-26.588571428571413,-4.03070892572901,sl,2025-02-26 01:00:00
235,236,1,BUY,648.0,612.681525,706.864125,612.681525,-35.318475000000035,-5.45038194444445,sl,2025-03-06 01:00:00
238,248,10,BUY,595.055,626.31,662.5833928571428,554.5379642857142,31.254999999999995,5.252455655359588,time,2025-03-11 01:00:00
250,252,2,BUY,602.0,563.5,663.7930535714286,564.9241678571428,-38.5,-6.395348837209303,sl,2025-03-27 01:00:00
254,255,1,BUY,574.91,541.4849428571429,630.6184285714286,541.4849428571429,-33.4250571428571,-5.813963427816024,sl,2025-04-02 01:00:00
257,259,2,BUY,485.1,548.4941428571428,548.4941428571428,447.0635142857143,63.39414285714281,13.06826280295667,tp,2025-04-07 01:00:00
261,266,5,BUY,535.505,482.1242964285714,624.4728392857143,482.1242964285714,-53.38070357142857,-9.968292279517197,sl,2025-04-11 01:00:00
