entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,11,10,BUY,614.99,622.83,649.683375,594.173975,7.840000000000032,1.2748174767069436,time,2024-03-28 01:00:00
13,16,3,BUY,607.5,567.88,647.2079285714285,583.6752428571428,-39.620000000000005,-6.521810699588477,sl,2024-04-16 01:00:00
18,28,10,BUY,556.49,605.3336071428572,605.3336071428572,527.1838357142857,48.843607142857195,8.777086226681018,tp,2024-04-23 01:00:00
30,40,10,BUY,614.4,635.67,662.6928571428571,585.4242857142857,21.269999999999982,3.4619140624999973,time,2024-05-09 01:00:00
42,52,10,BUY,647.05,648.55,684.0569642857142,624.8458214285714,1.5,0.23182134301831392,time,2024-05-28 01:00:00
54,56,2,BUY,644.0,678.805875,678.805875,623.116475,34.805875000000015,5.404638975155282,tp,2024-06-13 01:00:00
58,68,10,BUY,681.8,690.65,718.3451249999999,659.872925,8.850000000000023,1.2980346142563837,time,2024-06-20 01:00:00
70,72,2,BUY,690.0,670.0404214285714,723.2659642857143,670.0404214285714,-19.95957857142855,-2.8926925465838482,sl,2024-07-09 01:00:00
74,82,8,BUY,647.5,626.2490285714285,682.9182857142857,626.2490285714285,-21.25097142857146,-3.282003309431886,sl,2024-07-15 01:00:00
84,89,5,BUY,634.61,587.04,685.4862857142857,604.0842285714286,-47.57000000000005,-7.495942389814224,sl,2024-07-29 01:00:00
91,97,6,BUY,616.065,669.9006071428572,669.9006071428572,583.7636357142858,53.83560714285716,8.73862451898049,tp,2024-08-07 01:00:00
99,109,10,BUY,674.07,675.32,720.1074464285715,646.4475321428572,1.25,0.18544068123488658,time,2024-08-19 01:00:00
111,121,10,BUY,673.14,715.1627500000001,715.1627500000001,647.92635,42.02275000000009,6.242794960929389,tp,2024-09-05 01:00:00
123,133,10,BUY,702.39,701.92,746.9483035714285,675.6550178571429,-0.4700000000000273,-0.06691439228918795,time,2024-09-23 01:00:00
135,141,6,BUY,719.25,695.6726571428571,758.5455714285714,695.6726571428571,-23.577342857142867,-3.2780455831967834,sl,2024-10-09 01:00:00
143,153,10,BUY,765.76,755.51,815.8499464285715,735.7060321428571,-10.25,-1.3385394901796908,time,2024-10-21 01:00:00
155,159,4,BUY,771.5,818.0385,818.0385,743.5769,46.5385,6.032209980557355,tp,2024-11-06 01:00:00
161,163,2,BUY,833.67,812.5366285714285,868.8922857142857,812.5366285714285,-21.133371428571422,-2.5349804393310813,sl,2024-11-14 01:00:00
165,175,10,BUY,879.98,925.3892678571428,925.3892678571428,852.7344392857143,45.40926785714282,5.160261353342442,tp,2024-11-20 01:00:00
177,184,7,BUY,928.0,893.0623428571428,986.2294285714286,893.0623428571428,-34.93765714285723,-3.7648337438423747,sl,2024-12-09 01:00:00
186,196,10,BUY,893.21,879.19,942.1575714285715,863.8414571428572,-14.019999999999982,-1.5696196862999723,time,2024-12-20 01:00:00
198,199,1,BUY,866.4,831.525,920.0862130357143,834.1882721785714,-34.875,-4.025277008310249,sl,2025-01-10 01:00:00
201,204,3,BUY,836.44,888.6111071428572,888.6111071428572,805.1373357142858,52.17110714285718,6.237280276272916,tp,2025-01-15 01:00:00
206,216,10,BUY,957.81,1015.68,1038.1463214285714,909.608207142857,57.870000000000005,6.041908102859649,time,2025-01-23 01:00:00
218,228,10,BUY,1023.05,973.9643642857142,1104.859392857143,973.9643642857142,-49.085635714285786,-4.7979703547515555,sl,2025-02-10 01:00:00
230,233,3,BUY,995.0,955.6025857142857,1060.6623571428572,955.6025857142857,-39.39741428571426,-3.9595391241923883,sl,2025-02-27 01:00:00
235,235,0,BUY,972.99,928.3906607142857,1047.3222321428573,928.3906607142857,-44.599339285714336,-4.583740766679446,sl,2025-03-06 01:00:00
