Ticker,Accuracy,Trades,Win Rate,Return,Profit Factor,Sharpe
AMZN,53.6%,51,49.0%,4.4%,1.02,0.65
AAPL,58.7%,54,53.7%,77.9%,1.65,3.99
GOOG,59.0%,57,43.9%,22.6%,1.28,1.54
META,55.8%,53,47.2%,21.0%,1.16,1.42
NVDA,47.2%,48,41.7%,16.9%,1.11,1.25
TQQQ,59.7%,52,48.1%,130.2%,1.41,3.33
VOO,61.9%,55,52.7%,43.9%,1.92,4.42
COST,56.3%,51,47.1%,11.8%,1.15,1.34
CSCO,55.8%,55,54.5%,50.7%,1.74,3.87
NFLX,58.0%,49,46.9%,30.1%,1.26,2.10
JPM,61.9%,52,51.9%,56.2%,1.58,3.88
AMD,48.2%,9,33.3%,-8.4%,1.16,-1.15
BA,49.4%,51,47.1%,42.8%,1.31,2.34
CMG,45.7%,55,32.7%,-36.1%,0.65,-2.61
DIS,57.0%,33,54.5%,62.7%,2.40,6.01
XOM,49.6%,55,41.8%,-6.5%,0.93,-0.30
