entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,3,2,BUY,480.87,474.74321785714284,491.0813035714286,474.74321785714284,-6.1267821428571665,-1.2741036335926896,sl,2024-03-28 01:00:00
5,5,0,BUY,481.2,475.602075,490.529875,475.602075,-5.597924999999975,-1.163326059850369,sl,2024-04-04 01:00:00
7,9,2,BUY,477.15,470.73402857142855,487.8432857142857,470.73402857142855,-6.415971428571424,-1.3446445412493817,sl,2024-04-08 01:00:00
11,12,1,BUY,472.77,466.0298142857143,484.00364285714284,466.0298142857143,-6.740185714285701,-1.4256796569760564,sl,2024-04-12 01:00:00
14,16,2,BUY,465.11,456.6866,479.149,456.6866,-8.423400000000015,-1.8110554492485682,sl,2024-04-17 01:00:00
18,28,10,BUY,461.18,475.4,476.97855357142856,451.7008678571429,14.21999999999997,3.083394769937979,time,2024-04-23 01:00:00
30,40,10,BUY,475.59,489.91,489.14712499999996,467.455725,14.32000000000005,3.01099686704936,tp,2024-05-09 01:00:00
42,44,2,BUY,487.4,482.12,495.7089107142857,482.4146535714286,-5.279999999999973,-1.0832991382847708,sl,2024-05-28 01:00:00
46,53,7,BUY,486.3,497.93,496.37766071428575,480.2534035714286,11.629999999999995,2.3915278634587693,tp,2024-06-03 01:00:00
55,65,10,BUY,497.26,501.28,508.6985535714286,490.39686785714287,4.019999999999982,0.8084301974821989,time,2024-06-14 01:00:00
67,71,4,BUY,504.22,513.8682678571429,513.8682678571429,498.4310392857143,9.648267857142855,1.9135036010358284,tp,2024-07-03 01:00:00
73,77,4,BUY,512.49,507.124275,521.432875,507.124275,-5.365724999999998,-1.0469911608031373,sl,2024-07-12 01:00:00
79,81,2,BUY,508.27,501.2431535714286,519.9814107142856,501.2431535714286,-7.026846428571389,-1.3825026912018,sl,2024-07-22 01:00:00
83,88,5,BUY,498.36,489.62582142857144,512.9169642857142,489.62582142857144,-8.734178571428572,-1.7525841904303259,sl,2024-07-26 01:00:00
90,96,6,BUY,477.39,500.80921428571423,500.80921428571423,463.33847142857144,23.419214285714247,4.905677598130302,tp,2024-08-06 01:00:00
98,108,10,BUY,506.84,518.04,531.4918928571428,492.0488642857143,11.199999999999989,2.2097703417251973,time,2024-08-16 01:00:00
