entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,8,7,BUY,90.0,83.22075321428571,101.29874464285714,83.22075321428571,-6.779246785714292,-7.532496428571436,sl,2024-03-28 01:00:00
10,15,5,BUY,87.42,82.59396857142858,95.4633857142857,82.59396857142858,-4.826031428571426,-5.520511814883809,sl,2024-04-11 01:00:00
17,21,4,BUY,78.104,87.71595714285714,87.71595714285714,72.33682571428571,9.611957142857136,12.30661316047467,tp,2024-04-22 01:00:00
23,33,10,SELL,87.24,91.356,76.41555535714286,93.73466678571428,-4.116,-4.718019257221457,time,2024-04-30 01:00:00
35,40,5,SELL,94.91,102.028,86.8256482142857,99.76061107142857,-7.118000000000009,-7.499736592561384,sl,2024-05-16 01:00:00
42,43,1,SELL,110.244,115.20439178571428,101.97668035714285,115.20439178571428,-4.960391785714279,-4.499466443266099,sl,2024-05-28 01:00:00
45,49,4,BUY,112.52,124.048,122.83609642857142,106.33034214285713,11.528000000000006,10.245289726270892,tp,2024-05-31 01:00:00
51,56,5,BUY,120.37,133.30256428571428,133.30256428571428,112.61046142857143,12.932564285714278,10.744009542007376,tp,2024-06-10 01:00:00
58,58,0,BUY,139.8,132.09596142857143,152.6400642857143,132.09596142857143,-7.704038571428583,-5.51075720416923,sl,2024-06-20 01:00:00
60,70,10,BUY,123.24,131.38,137.11343035714285,114.91594178571428,8.14,6.604998377150277,time,2024-06-24 01:00:00
72,76,4,SELL,135.75,121.06071428571428,121.06071428571428,144.56357142857144,14.689285714285717,10.820836621941595,tp,2024-07-11 01:00:00
78,82,4,BUY,120.35,112.14714285714285,134.02142857142857,112.14714285714285,-8.202857142857141,-6.815834767641996,sl,2024-07-19 01:00:00
84,85,1,BUY,113.69,104.6525,128.7525,104.6525,-9.037499999999994,-7.949247954965251,sl,2024-07-29 01:00:00
87,87,0,BUY,117.53,107.35678571428572,134.48535714285714,107.35678571428572,-10.17321428571428,-8.655844708341938,sl,2024-08-01 01:00:00
89,95,6,BUY,92.06,112.44,111.20814285714286,80.57111428571429,20.379999999999995,22.137736258961542,tp,2024-08-05 01:00:00
97,107,10,SELL,118.76,117.59,97.68685714285715,131.4038857142857,1.1700000000000017,0.9851801953519719,time,2024-08-15 01:00:00
109,109,0,BUY,116.01,107.48678571428572,130.21535714285716,107.48678571428572,-8.523214285714289,-7.346965163101705,sl,2024-09-03 01:00:00
111,121,10,BUY,104.985,117.87,120.88499999999999,95.44500000000001,12.885000000000005,12.273181883126167,time,2024-09-05 01:00:00
123,126,3,SELL,116.55,126.8,101.95482142857142,125.30710714285713,-10.25,-8.794508794508795,sl,2024-09-23 01:00:00
128,133,5,SELL,118.31,125.59121428571429,106.17464285714286,125.59121428571429,-7.2812142857142845,-6.154352367267589,sl,2024-09-30 01:00:00
135,143,8,SELL,134.11,141.3119392857143,122.10676785714287,141.3119392857143,-7.201939285714275,-5.370173205364457,sl,2024-10-09 01:00:00
145,151,6,BUY,142.03,135.10642857142858,153.5692857142857,135.10642857142858,-6.923571428571421,-4.874724655756826,sl,2024-10-23 01:00:00
153,157,4,BUY,137.21,148.95360714285715,148.95360714285715,130.16383571428574,11.743607142857144,8.558856601455538,tp,2024-11-04 01:00:00
159,162,3,BUY,146.78,140.13989642857143,157.84683928571428,140.13989642857143,-6.640103571428568,-4.523847643703889,sl,2024-11-12 01:00:00
164,170,6,BUY,141.32,134.29523214285715,153.02794642857143,134.29523214285715,-7.024767857142848,-4.9708235615219705,sl,2024-11-19 01:00:00
172,182,10,BUY,138.83,130.53607142857143,152.65321428571428,130.53607142857143,-8.29392857142858,-5.974161615953742,sl,2024-12-02 01:00:00
