entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
1,3,2,BUY,115.53,119.51680357142858,119.51680357142858,113.13791785714285,3.986803571428581,3.4508816510244795,tp,2024-03-28 01:00:00
5,11,6,BUY,119.05,123.08553571428573,123.08553571428573,116.62867857142857,4.035535714285729,3.389782204355925,tp,2024-04-04 01:00:00
13,21,8,BUY,119.555,116.64209642857143,124.40983928571428,116.64209642857143,-2.912903571428572,-2.4364548295166006,sl,2024-04-16 01:00:00
23,26,3,BUY,119.11,115.31017857142858,125.4430357142857,115.31017857142858,-3.79982142857142,-3.1901783465464026,sl,2024-04-30 01:00:00
28,38,10,BUY,117.28,117.85,123.27910714285714,113.68053571428572,0.5699999999999932,0.48601637107775675,time,2024-05-07 01:00:00
40,47,7,BUY,115.6,112.72490714285713,120.39182142857142,112.72490714285713,-2.8750928571428602,-2.487104547701436,sl,2024-05-23 01:00:00
49,55,6,BUY,112.75,109.18,118.7,109.18,-3.569999999999993,-3.1662971175166232,sl,2024-06-06 01:00:00
57,60,3,BUY,109.03,114.34667857142857,114.34667857142857,105.83999285714286,5.316678571428568,4.876344649572198,tp,2024-06-18 01:00:00
62,70,8,BUY,114.39,111.11,119.46382142857142,111.34570714285715,-3.280000000000001,-2.8673835125448037,sl,2024-06-26 01:00:00
72,76,4,BUY,111.43,116.74,116.47642857142857,108.40214285714286,5.309999999999988,4.765323521493303,tp,2024-07-11 01:00:00
78,79,1,BUY,118.59,115.18,123.89803571428571,115.40517857142858,-3.4099999999999966,-2.8754532422632573,sl,2024-07-19 01:00:00
81,86,5,BUY,113.765,119.64,119.08630357142856,110.57221785714286,5.875,5.164154177471103,tp,2024-07-24 01:00:00
88,98,10,BUY,115.97,118.17,121.88773214285715,112.41936071428572,2.200000000000003,1.8970423385358308,time,2024-08-02 01:00:00
100,100,0,BUY,118.65,115.22529642857143,124.35783928571429,115.22529642857143,-3.42470357142858,-2.8863915477695574,sl,2024-08-20 01:00:00
102,112,10,BUY,113.78,112.64,119.70748214285715,110.22351071428571,-1.1400000000000006,-1.0019335559852351,time,2024-08-22 01:00:00
114,114,0,BUY,115.1,111.46914285714286,121.15142857142857,111.46914285714286,-3.6308571428571383,-3.1545240163832653,sl,2024-09-10 01:00:00
116,121,5,BUY,109.9,116.3907142857143,116.3907142857143,106.00557142857143,6.49071428571429,5.906018458338753,tp,2024-09-12 01:00:00
123,126,3,BUY,115.33,111.14,121.85732142857142,111.41360714285715,-4.189999999999998,-3.6330529784097787,sl,2024-09-23 01:00:00
128,130,2,BUY,115.46,121.93196428571427,121.93196428571427,111.57682142857142,6.471964285714279,5.605373536908262,tp,2024-09-30 01:00:00
132,142,10,BUY,123.2,119.24492857142857,129.7917857142857,119.24492857142857,-3.9550714285714292,-3.210285250463822,sl,2024-10-04 01:00:00
144,148,4,BUY,120.26,116.79,125.64323214285714,117.03006071428572,-3.469999999999999,-2.8854149343089963,sl,2024-10-22 01:00:00
150,152,2,BUY,117.66,115.01282142857143,122.07196428571429,115.01282142857143,-2.6471785714285687,-2.249854301741092,sl,2024-10-30 01:00:00
154,164,10,BUY,119.08,118.63,124.20442857142856,116.00534285714285,-0.45000000000000284,-0.37789721195834974,time,2024-11-05 01:00:00
166,170,4,BUY,121.08,117.66283928571428,126.77526785714286,117.66283928571428,-3.417160714285714,-2.822233824154042,sl,2024-11-21 01:00:00
172,174,2,BUY,118.05,115.22858571428571,122.75235714285714,115.22858571428571,-2.821414285714283,-2.390016336903247,sl,2024-12-02 01:00:00
176,179,3,BUY,114.54,111.67676785714286,119.31205357142858,111.67676785714286,-2.863232142857143,-2.499766145326648,sl,2024-12-06 01:00:00
181,182,1,BUY,111.899,109.13537857142857,116.50503571428571,109.13537857142857,-2.763621428571426,-2.4697463145974727,sl,2024-12-13 01:00:00
184,194,10,BUY,107.57,107.86,112.18444642857142,104.80133214285713,0.29000000000000625,0.26959189365065195,time,2024-12-18 01:00:00
196,197,1,BUY,108.94,106.16841785714286,113.55930357142857,106.16841785714286,-2.7715821428571417,-2.544136352907235,sl,2025-01-07 01:00:00
199,203,4,BUY,107.125,112.19017857142858,112.19017857142858,104.08589285714285,5.065178571428575,4.728288048008005,tp,2025-01-13 01:00:00
205,209,4,BUY,111.2,108.00879285714286,116.51867857142858,108.00879285714286,-3.191207142857138,-2.8697905960945485,sl,2025-01-22 01:00:00
211,213,2,BUY,109.24,105.89203214285715,114.81994642857141,105.89203214285715,-3.347967857142848,-3.0647820003138486,sl,2025-01-30 01:00:00
215,225,10,BUY,109.74,112.0,115.19182142857142,106.46890714285715,2.260000000000005,2.059413158374344,time,2025-02-05 01:00:00
227,232,5,BUY,110.925,107.47629642857143,116.67283928571429,107.47629642857143,-3.4487035714285668,-3.109040857722395,sl,2025-02-24 01:00:00
234,237,3,BUY,105.84,112.32055357142858,112.32055357142858,101.95166785714287,6.4805535714285725,6.122972006262823,tp,2025-03-05 01:00:00
239,245,6,BUY,109.05,116.23144642857143,116.23144642857143,104.74113214285714,7.181446428571434,6.585462107814245,tp,2025-03-12 01:00:00
247,256,9,BUY,115.68,109.865,122.79830357142858,111.40901785714286,-5.815000000000012,-5.0267980636238,sl,2025-03-24 01:00:00
258,258,0,BUY,105.455,100.93057142857143,112.99571428571429,100.93057142857143,-4.524428571428572,-4.290387910889548,sl,2025-04-08 01:00:00
260,260,0,BUY,103.71,98.04905357142856,113.14491071428571,98.04905357142856,-5.660946428571435,-5.45843836522171,sl,2025-04-10 01:00:00
262,272,10,BUY,105.03,108.36,116.26669642857144,98.28798214285715,3.3299999999999983,3.1705227077977702,time,2025-04-14 01:00:00
274,284,10,BUY,105.095,108.58,113.01069642857142,100.34558214285714,3.4849999999999994,3.316047385698653,time,2025-05-01 01:00:00
286,288,2,BUY,107.57,103.959425,113.587625,103.959425,-3.610574999999997,-3.356488797992003,sl,2025-05-19 01:00:00
290,300,10,BUY,102.595,104.97,107.82625232142857,99.45624860714285,2.375,2.3149276280520494,time,2025-05-23 01:00:00
302,304,2,BUY,107.76,112.41503571428572,112.41503571428572,104.96697857142857,4.655035714285717,4.319817849188675,tp,2025-06-11 01:00:00
306,310,4,BUY,113.95,109.25,119.36932142857144,110.69840714285715,-4.700000000000003,-4.124616059675298,sl,2025-06-17 01:00:00
312,322,10,BUY,108.94,115.39982142857143,115.39982142857143,105.06410714285714,6.459821428571431,5.929705735791656,tp,2025-06-26 01:00:00
324,327,3,BUY,113.66,110.45070714285714,119.00882142857142,110.45070714285714,-3.209292857142856,-2.8235904074809572,sl,2025-07-15 01:00:00
329,333,4,SELL,107.98,111.07090000000001,102.8285,111.07090000000001,-3.090900000000005,-2.8624745323208045,sl,2025-07-22 01:00:00
335,337,2,BUY,112.41,109.723125,116.888125,109.723125,-2.6868750000000006,-2.3902455297571397,sl,2025-07-30 01:00:00
339,349,10,BUY,107.22,107.42,112.25978571428571,104.19612857142857,0.20000000000000284,0.1865323633650465,time,2025-08-05 01:00:00
351,356,5,BUY,108.42,113.346125,113.346125,105.464325,4.926124999999999,4.543557461722928,tp,2025-08-21 01:00:00
358,359,1,BUY,114.18,111.81197142857144,118.12671428571429,111.81197142857144,-2.3680285714285674,-2.073943397642816,sl,2025-09-02 01:00:00
361,362,1,BUY,111.6,108.97847142857142,115.96921428571427,108.97847142857142,-2.62152857142857,-2.349039938556066,sl,2025-09-05 01:00:00
364,374,10,BUY,111.16,114.56,116.10375,108.19375,3.4000000000000057,3.0586541921554566,time,2025-09-10 01:00:00
376,378,2,BUY,115.96,113.21888928571428,120.52851785714286,113.21888928571428,-2.7411107142857105,-2.3638415956241037,sl,2025-09-26 01:00:00
380,390,10,BUY,111.97,110.64,116.93373214285714,108.99176071428572,-1.3299999999999983,-1.1878181655800646,time,2025-10-02 01:00:00
392,402,10,BUY,112.0,113.76,117.35003571428571,108.78997857142858,1.7600000000000051,1.571428571428576,time,2025-10-20 01:00:00
404,408,4,BUY,114.09,118.83,118.485125,111.45292500000001,4.739999999999995,4.15461477780699,tp,2025-11-05 01:00:00
