ticker,current_price,timestamp,expected_range_pct,upper_bound,lower_bound,directional_bias,conviction,conviction_score,most_likely_category,prob_large_up,prob_mild_up,prob_flat,prob_mild_down,prob_large_down,p10,p50,p90
TSLA,401.26,2025-11-18,3.4,418.51,391.31,Bullish,Low,0.236,large_up,0.373,0.176,0.114,0.144,0.193,387.48,404.91,422.35
KLAC,1123.98,2025-11-18,2.2,1148.49,1100.06,Neutral,High,0.611,mild_up,0.18,0.233,0.184,0.23,0.173,1093.24,1124.27,1155.31
AMD,230.22,2025-11-18,4.2,239.31,220.21,Neutral,High,0.721,large_down,0.298,0.135,0.096,0.139,0.332,217.52,229.76,242.0
AAPL,267.43,2025-11-18,1.0,269.94,264.55,Neutral,High,0.614,flat,0.02,0.266,0.379,0.307,0.028,263.79,267.24,270.69
MSFT,493.79,2025-11-18,1.4,500.98,486.91,Neutral,High,0.833,mild_up,0.083,0.287,0.274,0.278,0.077,484.92,493.94,502.96
AMAT,225.18,2025-11-18,2.4,227.71,216.86,Bearish,Low,0.266,large_down,0.089,0.143,0.142,0.241,0.385,215.34,222.29,229.23
GOOGL,284.3,2025-11-18,2.0,290.14,278.52,Neutral,High,0.902,mild_up,0.165,0.24,0.193,0.239,0.163,276.88,284.33,291.78
AMZN,222.58,2025-11-18,3.0,229.74,216.17,Neutral,High,0.696,large_up,0.274,0.183,0.13,0.175,0.238,214.26,222.96,231.65
META,597.69,2025-11-18,2.8,614.81,581.42,Neutral,High,0.763,large_up,0.245,0.194,0.142,0.19,0.229,576.72,598.11,619.51
QCOM,165.07,2025-11-18,3.4,170.52,159.38,Neutral,High,0.799,large_down,0.27,0.163,0.118,0.165,0.284,157.81,164.95,172.09
INTC,34.32,2025-11-18,3.0,35.37,33.33,Neutral,High,0.843,large_up,0.259,0.185,0.134,0.181,0.242,33.04,34.35,35.66
CRM,233.31,2025-11-18,1.8,238.01,229.5,Neutral,Medium,0.352,mild_up,0.16,0.272,0.215,0.238,0.114,228.3,233.75,239.2
LRCX,143.23,2025-11-18,3.3,148.87,139.38,Bullish,Low,0.295,large_up,0.338,0.177,0.119,0.154,0.212,138.05,144.13,150.21
AVGO,340.5,2025-11-18,2.2,349.79,334.43,Neutral,Medium,0.365,large_up,0.248,0.247,0.172,0.197,0.135,332.27,342.11,351.96
ORCL,220.7,2025-11-18,2.4,226.08,215.3,Neutral,High,0.947,mild_down,0.206,0.212,0.162,0.213,0.207,213.78,220.69,227.6
TXN,157.33,2025-11-18,2.0,160.62,154.43,Neutral,High,0.54,mild_up,0.17,0.254,0.201,0.236,0.14,153.56,157.52,161.49
SNPS,383.72,2025-11-18,2.0,391.24,375.75,Neutral,High,0.512,mild_down,0.154,0.237,0.195,0.245,0.168,373.57,383.5,393.42
ADBE,324.5,2025-11-18,1.6,331.32,320.58,Neutral,Medium,0.412,mild_up,0.173,0.314,0.23,0.214,0.069,319.07,325.95,332.84
CSCO,77.38,2025-11-18,1.7,78.59,75.92,Neutral,Low,0.21,mild_down,0.106,0.246,0.227,0.278,0.143,75.55,77.26,78.97
NVDA,181.37,2025-11-18,2.9,186.77,176.28,Neutral,High,0.678,large_up,0.254,0.189,0.137,0.184,0.235,174.81,181.53,188.25
